flyid,name,sugarR_200Hz_x30
720575940625175054,,71.33333333333333
720575940642428045,,71.1
720575940620335269,,70.7
720575940607272649,roundup_1,69.2
720575940632252743,,68.23333333333333
720575940630579574,,67.83333333333333
720575940622235425,,66.8
720575940628755815,foxglove_2,66.4
720575940625875504,tinctoria_2,66.13333333333334
720575940629810748,,66.0
720575940625102692,,64.73333333333333
720575940630996055,,64.43333333333334
720575940643867296,,63.86666666666667
720575940645521262,MN9_R,63.13333333333333
720575940612692633,,62.833333333333336
720575940660223873,,62.7
720575940618472261,,62.166666666666664
720575940624484796,,61.93333333333333
720575940630683385,,61.4
720575940655013025,,60.333333333333336
720575940616466260,,59.53333333333333
720575940625047484,,59.36666666666667
720575940649829241,,59.3
720575940610677828,,58.6
720575940628648809,,58.43333333333333
720575940632602532,,58.1
720575940631959097,,57.6
720575940617629841,,57.36666666666667
720575940621399899,tentacular_2,56.36666666666667
720575940633674135,,55.833333333333336
720575940620031366,,55.666666666666664
720575940616857174,TH_VUM,55.233333333333334
720575940620673985,tentacular_1,54.86666666666667
720575940628972048,,54.06666666666667
720575940631997032,Fdg_2,53.733333333333334
720575940616864217,,53.56666666666667
720575940632722771,,53.43333333333333
720575940623578375,,51.06666666666667
720575940631703608,,51.0
720575940622810153,,50.833333333333336
720575940611548878,,50.56666666666667
720575940627847752,,50.233333333333334
720575940611015122,,49.96666666666667
720575940619588568,,49.1
720575940625580988,,48.86666666666667
720575940630820919,,48.5
720575940609407939,,48.46666666666667
720575940617552057,,48.4
720575940633612698,,48.13333333333333
720575940630667372,,47.3
720575940647518340,,47.13333333333333
720575940626279742,,46.96666666666667
720575940635578303,,46.8
720575940660229505,,46.8
720575940613687789,,46.4
720575940644653348,,46.13333333333333
720575940625861660,,46.06666666666667
720575940635055039,,45.93333333333333
720575940625737776,,45.9
720575940647033396,,45.56666666666667
720575940618696989,,45.4
720575940607193986,,44.86666666666667
720575940610916465,,44.46666666666667
720575940631406411,,44.06666666666667
720575940632365905,,43.6
720575940626495746,,43.233333333333334
720575940609915204,,42.9
720575940612888178,,41.13333333333333
720575940617588258,,40.833333333333336
720575940631999080,,40.833333333333336
720575940624966840,,40.63333333333333
720575940626972056,,40.53333333333333
720575940621538142,tundra_2,40.46666666666667
720575940628826128,,40.36666666666667
720575940607451081,,40.0
720575940621261296,,40.0
720575940610803554,,39.96666666666667
720575940622612749,,39.96666666666667
720575940610258552,,39.93333333333333
720575940624623287,,39.56666666666667
720575940620170887,,39.233333333333334
720575940619853515,,39.166666666666664
720575940618574749,,39.1
720575940635239672,kelp_1,39.0
720575940613929391,,38.86666666666667
720575940619473624,,38.833333333333336
720575940623209165,,38.7
720575940616864086,,38.4
720575940639786915,,38.3
720575940627819151,,38.3
720575940624906483,,38.13333333333333
720575940612036837,,37.13333333333333
720575940624897516,web_6,36.9
720575940611160930,foxglove_1,36.733333333333334
720575940630664556,,36.666666666666664
720575940630771449,,36.13333333333333
720575940639425112,,36.06666666666667
720575940612558061,,35.13333333333333
720575940620025620,,34.86666666666667
720575940609405635,,34.3
720575940620780272,,34.233333333333334
720575940607386290,,34.2
720575940630806267,,34.03333333333333
720575940613347299,,33.6
720575940626308697,,33.166666666666664
